pathway	gene1 gene2
Progesterone-mediated oocyte maturation	KRAS	ARAF
Progesterone-mediated oocyte maturation	RPS6KA6	PKMYT1
Progesterone-mediated oocyte maturation	RPS6KA6	PKMYT1
Progesterone-mediated oocyte maturation	PKMYT1	CDK1
Progesterone-mediated oocyte maturation	PKMYT1	CDK1
Progesterone-mediated oocyte maturation	CDC25A	CDK1
Progesterone-mediated oocyte maturation	CDC25A	CDK1
Progesterone-mediated oocyte maturation	BUB1	MAD2L2
Progesterone-mediated oocyte maturation	FZR1	ANAPC10
Progesterone-mediated oocyte maturation	MAD2L2	FZR1
Progesterone-mediated oocyte maturation	HSP90AA1	MOS
Progesterone-mediated oocyte maturation	GNAI1	ADCY1
Progesterone-mediated oocyte maturation	AKT3	PDE3B
Progesterone-mediated oocyte maturation	AKT3	PDE3B
Progesterone-mediated oocyte maturation	IGF1R	PIK3CA
Progesterone-mediated oocyte maturation	IGF1R	KRAS
Progesterone-mediated oocyte maturation	INS	IGF1R
Progesterone-mediated oocyte maturation	IGF1	IGF1R
Progesterone-mediated oocyte maturation	C00410	PGR
Cushing syndrome	AGTR1	GNA11
Cushing syndrome	GNA11	PLCB1
Cushing syndrome	PLCB1	C01245
Cushing syndrome	C01245	ITPR1
Cushing syndrome	MC2R	GNAS
Cushing syndrome	GNAS	ADCY1
Cushing syndrome	ADCY1	C00575
Cushing syndrome	C00575	PRKACA
Cushing syndrome	CREB3	STAR
Cushing syndrome	CRH	CRHR1
Cushing syndrome	CRHR1	GNAS
Cushing syndrome	GNAS	ADCY1
Cushing syndrome	ADCY1	C00575
Cushing syndrome	C00575	PRKACA
Cushing syndrome	PRKACA	CACNA1C
Cushing syndrome	C00076	CAMK2A
Cushing syndrome	CAMK2A	RAP1A
Cushing syndrome	RAP1A	BRAF
Cushing syndrome	PRKACA	RAP1A
Cushing syndrome	PRKACA	RAP1A
Cushing syndrome	PRKACA	CREB3
Cushing syndrome	PRKACA	CREB3
Cushing syndrome	BRAF	MAP2K1
Cushing syndrome	BRAF	MAP2K1
Cushing syndrome	MAP2K1	MAPK1
Cushing syndrome	MAP2K1	MAPK1
Cushing syndrome	MAPK1	NR4A1
Cushing syndrome	MAPK1	NR4A1
Cushing syndrome	EGFR	MAPK1
Cushing syndrome	EGFR	MAPK1
Cushing syndrome	USP8	EGFR
Cushing syndrome	CREB3	POMC
Cushing syndrome	NR4A1	POMC
Cushing syndrome	GNAI1	ADCY1
Cushing syndrome	RASD1	GNAI1
Cushing syndrome	RB1	E2F1
Cushing syndrome	PRKACA	KCNK2
Cushing syndrome	PRKACA	NR5A1
Cushing syndrome	PRKACA	NR4A1
Cushing syndrome	PRKACA	SP1
Cushing syndrome	PRKACA	PBX1
Cushing syndrome	PRKACA	CREB3
Cushing syndrome	NR5A1	CYP11B1
Cushing syndrome	NR5A1	CYP17A1
Cushing syndrome	NR5A1	STAR
Cushing syndrome	NR5A1	NCEH1
Cushing syndrome	NR4A1	CYP11B1
Cushing syndrome	NR4A1	CYP17A1
Cushing syndrome	NR4A1	STAR
Cushing syndrome	NR4A1	NCEH1
Cushing syndrome	SP1	CYP11B1
Cushing syndrome	SP1	CYP17A1
Cushing syndrome	SP1	STAR
Cushing syndrome	SP1	NCEH1
Cushing syndrome	PBX1	CYP11B1
Cushing syndrome	PBX1	CYP17A1
Cushing syndrome	PBX1	STAR
Cushing syndrome	PBX1	NCEH1
Cushing syndrome	CREB3	CYP11B1
Cushing syndrome	CREB3	CYP17A1
Cushing syndrome	CREB3	NCEH1
Cushing syndrome	WNT16...	FZD10
Cushing syndrome	FZD10	DVL1
Cushing syndrome	DVL1	GSK3B
Cushing syndrome	C00076	KCNK2
Cushing syndrome	AGT	AGTR1
Hepatitis C	DDX58	MAVS
Hepatitis C	TLR3	TICAM1
